season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,Day
4,1,11,0,2,1,2,0.343333,0.323225,0.662917,0.342046,13
3,0,9,0,4,1,2,0.633913,0.555361,0.87,0.192748,8
4,0,12,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,3
3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,18
3,1,6,0,3,1,1,0.6975,0.640792,0.407083,0.271775,27
2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,17
3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,4
1,0,1,0,5,1,2,0.211304,0.220333,0.498696,0.168726,7
4,0,11,0,0,0,2,0.463333,0.457058,0.684583,0.18595,20
1,1,2,0,5,1,1,0.313333,0.309346,0.526667,0.178496,3
3,1,6,0,1,1,1,0.715833,0.654042,0.504167,0.300383,25
4,0,10,0,3,1,2,0.541739,0.513848,0.87,0.243339,19
2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,26
2,1,4,0,5,1,1,0.4575,0.452637,0.407083,0.343287,27
2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,13
4,0,11,0,2,1,1,0.408333,0.412246,0.721667,0.0783833,8
4,1,11,0,4,1,1,0.28087,0.298422,0.555652,0.115522,29
1,0,2,0,5,1,1,0.211304,0.220333,0.506364,0.10855,11
2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,19
1,1,3,0,4,1,1,0.5575,0.532825,0.579583,0.149883,15
1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,26
4,0,11,0,3,1,1,0.325,0.311221,0.613333,0.271158,29
3,0,7,0,4,1,1,0.769167,0.715292,0.583333,0.178479,28
3,1,8,0,2,1,1,0.649167,0.601025,0.67375,0.0783833,21
3,1,8,0,5,1,1,0.723333,0.2424,0.570833,0.231354,17
1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,25
1,1,2,0,5,1,2,0.280833,0.293558,0.54,0.116929,10
1,1,3,0,5,1,2,0.410833,0.397083,0.407083,0.343287,9
2,1,4,0,1,1,1,0.489167,0.476638,0.407083,0.343287,9
1,1,3,0,3,1,1,0.404167,0.3851,0.513333,0.343287,7
3,1,6,0,5,1,1,0.769167,0.715292,0.57375,0.182842,22
2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,21
2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,24
1,0,2,0,1,0,2,0.303333,0.284075,0.605,0.307846,21
2,1,6,0,3,1,1,0.554167,0.542292,0.61125,0.0783833,6
3,1,8,0,3,1,2,0.75,0.707717,0.672917,0.1107,8
4,1,11,0,1,1,2,0.380833,0.375621,0.623333,0.235067,19
4,1,10,0,4,1,1,0.435,0.431167,0.463333,0.181596,11
4,1,9,0,6,0,1,0.5425,0.530296,0.542917,0.227604,29
2,1,6,0,6,0,1,0.710833,0.648367,0.437083,0.144287,9
1,1,1,0,2,1,1,0.211304,0.220333,0.44125,0.343287,3
4,1,11,0,2,1,2,0.374167,0.380667,0.685,0.082725,20
1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,19
2,1,6,0,5,1,1,0.639167,0.599754,0.589583,0.176617,15
1,1,2,0,4,1,2,0.316667,0.330162,0.752917,0.091425,16
4,0,10,0,4,1,1,0.475833,0.466525,0.63625,0.343287,20
2,1,4,0,4,1,2,0.498333,0.483583,0.756667,0.176625,26
2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,25
1,0,3,0,4,1,1,0.211304,0.220333,0.407083,0.225754,3
3,0,7,0,0,0,1,0.769167,0.715292,0.550833,0.169171,24
1,1,2,0,3,1,2,0.344348,0.34847,0.804783,0.179117,29
1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0783833,29
3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,20
3,0,8,0,2,1,1,0.769167,0.707071,0.49125,0.20585,2
2,1,5,0,3,1,1,0.564167,0.537896,0.797083,0.138058,2
4,1,12,0,4,1,1,0.295833,0.294188,0.485833,0.174129,13
3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2
3,1,9,0,2,1,2,0.623333,0.565067,0.87,0.343287,18
3,0,9,0,2,1,2,0.54,0.5152,0.87,0.343287,6
2,1,6,0,6,0,1,0.583333,0.566288,0.549167,0.186562,2
1,0,12,0,4,1,1,0.248333,0.263892,0.574167,0.119412,29
4,1,10,0,5,1,2,0.545833,0.52275,0.807083,0.132467,26
3,1,7,0,2,1,1,0.769167,0.70265,0.492083,0.126237,3
4,1,10,0,2,1,1,0.468333,0.460846,0.558333,0.182221,16
3,0,7,0,5,1,1,0.769167,0.715292,0.5425,0.174138,29
2,1,3,0,1,1,1,0.445833,0.43875,0.477917,0.343287,26
1,1,2,0,1,1,1,0.2225,0.227913,0.41125,0.167283,13
3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,26
4,0,10,0,4,1,2,0.47,0.457046,0.812917,0.197763,27
2,1,5,0,4,1,1,0.68,0.631329,0.492917,0.195279,29
2,1,6,0,0,0,1,0.5925,0.571975,0.59875,0.144904,17
3,0,9,0,4,1,2,0.628333,0.554963,0.87,0.128125,22
2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,18
3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,12
4,1,11,0,4,1,2,0.321667,0.324492,0.620417,0.152987,15
4,1,11,0,5,1,1,0.345,0.347204,0.524583,0.171025,16
2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,13
1,1,1,0,1,1,1,0.269167,0.262625,0.407083,0.215792,29
4,1,10,0,3,1,2,0.6575,0.599133,0.79375,0.0783833,3
2,1,5,0,6,0,2,0.621667,0.584608,0.756667,0.152992,5
1,1,1,0,4,1,2,0.341667,0.35605,0.769583,0.0783833,26
1,1,1,0,6,0,1,0.393333,0.390779,0.531667,0.174758,7
4,0,12,0,4,1,1,0.3125,0.305554,0.524583,0.220158,2
2,1,4,0,1,1,1,0.433913,0.427513,0.504348,0.312139,2
2,0,4,0,5,0,1,0.446667,0.441913,0.67125,0.226375,15
2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,25
4,1,10,0,4,1,2,0.5225,0.512625,0.728333,0.236937,18
3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,28
4,1,10,0,3,1,1,0.455833,0.450108,0.692917,0.101371,17
4,0,10,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,22
2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,3
1,0,1,0,6,0,2,0.211304,0.220333,0.535833,0.266804,8
2,0,3,0,4,1,2,0.268333,0.257575,0.87,0.217646,29
3,1,7,0,0,0,1,0.769167,0.715292,0.57375,0.125629,8
1,1,1,0,0,0,1,0.2825,0.272721,0.407083,0.24005,29
4,1,11,0,4,1,2,0.365833,0.369942,0.581667,0.157346,2
4,1,11,0,4,1,1,0.352174,0.341891,0.407083,0.343287,8
3,1,8,0,1,1,1,0.720833,0.662254,0.545417,0.136212,13
3,1,7,0,0,0,1,0.769167,0.715292,0.51875,0.168529,2
1,1,2,0,6,0,1,0.290833,0.255675,0.407083,0.343287,25
1,1,2,0,2,1,2,0.319167,0.333946,0.50875,0.141179,14
1,0,1,0,3,1,1,0.211304,0.220333,0.599545,0.304627,12
2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,21
1,0,1,0,6,0,1,0.211304,0.220333,0.651739,0.145365,29
1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,13
1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,12
1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,15
2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,17
3,1,8,0,0,0,2,0.653333,0.595996,0.845833,0.228858,26
4,1,10,0,1,1,2,0.520833,0.512,0.649167,0.0908042,2
1,1,2,0,5,1,1,0.343333,0.351629,0.634583,0.205846,17
3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,28
2,1,3,0,4,1,1,0.494167,0.482304,0.439167,0.31965,29
2,1,4,0,0,0,1,0.606667,0.573875,0.507917,0.225129,15
3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,27
4,1,10,0,6,0,2,0.53,0.515133,0.72,0.235692,27
2,1,5,0,2,1,2,0.615,0.580825,0.765833,0.118167,22
3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,15
4,0,10,0,1,1,1,0.463333,0.457067,0.772083,0.118792,24
1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,16
1,1,3,0,0,0,1,0.325833,0.303021,0.407083,0.334571,4
3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,14
3,1,8,0,0,0,1,0.769167,0.715292,0.6525,0.290421,5
4,0,11,0,1,1,2,0.4475,0.445062,0.87,0.138054,21
2,1,6,0,5,1,2,0.654167,0.607962,0.755417,0.237563,2
2,1,6,0,3,1,1,0.655833,0.611117,0.582083,0.343279,13
4,0,12,0,2,1,1,0.2825,0.301138,0.59,0.14055,13
4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.0783833,9
1,1,1,0,2,1,2,0.373043,0.364278,0.716087,0.343287,17
1,0,1,0,1,1,1,0.211304,0.220333,0.482917,0.223267,10
3,0,9,0,3,1,2,0.599167,0.544229,0.87,0.0970208,7
1,0,1,0,0,0,1,0.211304,0.220333,0.436522,0.2466,23
3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,10
2,1,4,0,6,0,2,0.376667,0.377504,0.489583,0.129975,28
4,1,12,0,0,0,2,0.3625,0.369938,0.83875,0.100742,16
1,1,2,0,2,1,1,0.287826,0.295113,0.594348,0.205717,21
3,1,9,0,0,0,2,0.696667,0.649,0.815,0.0783833,2
3,0,7,0,6,0,1,0.769167,0.715292,0.5,0.131221,23
2,1,3,0,5,1,2,0.601667,0.570067,0.694167,0.1163,23
2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.343287,4
4,0,11,0,2,1,2,0.458333,0.451375,0.830833,0.258092,29
1,1,1,0,3,1,1,0.303333,0.275254,0.443333,0.343287,18
1,1,2,0,1,1,1,0.366667,0.357954,0.490833,0.268033,27
4,0,10,0,3,1,2,0.543333,0.517717,0.87,0.24815,12
3,0,7,0,1,0,2,0.726667,0.665417,0.637917,0.0814792,4
3,1,8,0,0,0,1,0.700833,0.644579,0.530417,0.122512,12
4,0,11,0,6,0,1,0.375833,0.385087,0.681667,0.0783833,26
2,0,6,0,5,1,1,0.62,0.587133,0.407083,0.253121,3
1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,17
1,1,1,0,5,1,1,0.274167,0.249362,0.5075,0.343287,13
4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,5
1,0,3,0,4,1,2,0.389091,0.385668,0.407083,0.261877,10
1,1,3,0,5,1,2,0.353333,0.359842,0.657083,0.144904,2
3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,8
4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,29
3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,25
2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,29
3,1,9,0,2,1,1,0.5775,0.554292,0.52,0.0920542,11
2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,28
2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,6
3,1,8,0,3,1,1,0.6675,0.621854,0.677083,0.0783833,22
4,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,17
3,0,8,0,6,0,2,0.68,0.635556,0.85,0.343287,27
1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,2
1,1,12,0,0,0,1,0.245833,0.259471,0.515417,0.133083,23
1,0,12,0,3,1,1,0.29913,0.279974,0.503913,0.293961,28
4,1,9,0,5,1,2,0.619167,0.585863,0.69,0.164179,28
3,1,8,0,5,1,2,0.715833,0.667942,0.715833,0.238813,10
4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,6
2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,27
3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,17
4,0,12,0,5,1,2,0.375,0.359825,0.500417,0.260575,16
1,0,12,0,5,1,1,0.311667,0.318812,0.636667,0.134337,29
4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,2
4,0,11,0,2,1,2,0.53,0.507579,0.68875,0.199633,15
2,1,5,0,3,1,2,0.575,0.553025,0.744167,0.216412,9
2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,25
1,1,3,0,1,1,1,0.243333,0.241171,0.50625,0.228858,5
2,1,5,0,2,1,2,0.613333,0.577021,0.659583,0.156096,2
4,1,10,0,1,1,1,0.4875,0.482942,0.568333,0.0814833,22
2,1,6,0,6,0,1,0.631667,0.594708,0.504167,0.166667,16
4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,26
2,1,5,0,3,1,2,0.656667,0.611129,0.67,0.134329,29
4,0,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,4
4,0,11,0,1,1,1,0.395,0.400871,0.75875,0.0783833,7
1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,16
3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,19
3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,15
1,1,12,0,1,1,2,0.215833,0.223487,0.5775,0.154846,29
3,1,9,0,1,0,1,0.7075,0.661629,0.790833,0.151121,3
2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,18
1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,2
1,1,12,0,1,1,2,0.231304,0.2589,0.791304,0.0783833,24
1,1,3,0,4,1,1,0.5275,0.524604,0.5675,0.343287,8
2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,11
1,1,2,0,3,1,1,0.469167,0.466538,0.507917,0.189067,2
4,1,10,0,1,1,2,0.561667,0.53915,0.7075,0.296037,15
2,1,6,0,4,1,1,0.648333,0.624383,0.569583,0.253733,14
3,1,9,0,3,1,1,0.5525,0.540404,0.536667,0.215175,19
3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,29
4,0,11,0,2,1,1,0.400833,0.397088,0.68375,0.135571,2
3,1,7,0,3,1,1,0.724167,0.654054,0.45,0.1648,25
1,1,1,0,2,1,1,0.39,0.381317,0.416667,0.261817,29
4,1,12,0,1,1,1,0.4525,0.455796,0.7675,0.0827208,3
2,0,5,0,1,0,1,0.733333,0.671092,0.685,0.131225,29
2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,5
3,1,8,0,6,0,2,0.6925,0.638267,0.732917,0.206479,11
4,1,9,0,3,1,1,0.635,0.596613,0.630833,0.2444,26
3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,5
2,1,4,0,1,1,2,0.321667,0.301125,0.766667,0.303496,23
2,1,3,0,2,1,1,0.323333,0.315654,0.407083,0.187192,27
1,1,1,0,2,1,1,0.3425,0.349108,0.835833,0.123767,24
1,1,12,0,5,1,2,0.326667,0.301767,0.556667,0.343287,21
4,1,10,0,3,1,1,0.5875,0.558721,0.63625,0.0783833,24
4,0,11,0,5,1,1,0.274167,0.272721,0.41,0.168533,18
4,0,12,0,2,1,2,0.385833,0.396454,0.595417,0.0783833,20
4,1,11,0,0,0,1,0.325833,0.329538,0.532917,0.179108,4
2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,23
2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,22
1,1,3,0,5,1,2,0.435833,0.436229,0.842083,0.113192,16
4,0,11,0,4,1,2,0.341667,0.323221,0.575833,0.305362,17
1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,20
3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,22
3,1,8,0,4,1,1,0.719167,0.654688,0.519167,0.141796,16
4,0,11,0,3,1,1,0.4,0.409079,0.758333,0.0783833,9
4,1,11,0,6,0,1,0.389167,0.393937,0.645417,0.0783833,10
1,0,1,0,4,1,1,0.211304,0.220333,0.470417,0.301,13
4,0,11,0,3,1,1,0.3775,0.390133,0.71875,0.0820917,2
1,0,12,0,3,1,2,0.428333,0.428017,0.858333,0.2214,21
1,0,1,0,3,1,2,0.2175,0.220333,0.8625,0.29385,26
3,1,6,0,4,1,1,0.749167,0.675512,0.4225,0.17165,28
2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,19
1,0,2,0,2,1,1,0.220833,0.220333,0.537917,0.343287,8
3,1,7,0,4,1,1,0.715833,0.654683,0.529583,0.146775,12
3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,3
4,0,10,0,3,1,2,0.484167,0.472846,0.720417,0.148642,26
2,1,4,0,1,1,2,0.464167,0.457696,0.57,0.171638,29
4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,29
2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,4
2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,7
2,1,6,0,0,0,1,0.6025,0.575133,0.493333,0.184087,3
4,0,12,0,4,1,1,0.265833,0.256938,0.58,0.240058,8
4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,15
2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,24
4,1,12,0,0,0,2,0.384167,0.390146,0.87,0.157975,9
3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,23
1,0,12,0,1,0,1,0.321739,0.315535,0.506957,0.239465,26
4,1,10,0,0,0,1,0.464167,0.456429,0.51,0.166054,21
1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,27
2,1,5,0,4,1,1,0.505833,0.491783,0.552083,0.314063,10
3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,11
4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0783833,8
1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,18
4,1,11,0,5,1,1,0.355,0.356042,0.522083,0.266175,2
4,0,11,0,6,0,1,0.329167,0.324483,0.502083,0.224496,19
3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,13
1,1,12,0,6,0,1,0.265833,0.236113,0.44125,0.343287,22
1,1,12,0,3,1,2,0.243333,0.220333,0.823333,0.316546,26
3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,10
4,1,12,0,1,1,2,0.435833,0.435575,0.87,0.190308,10
4,1,10,0,0,0,2,0.415833,0.419813,0.708333,0.141162,7
1,1,2,0,3,1,1,0.395833,0.392667,0.567917,0.234471,22
2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.343287,5
3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,29
4,0,10,0,6,0,2,0.254167,0.227913,0.87,0.343287,29
2,1,4,0,0,0,2,0.396667,0.389504,0.835417,0.343287,22
3,1,6,0,4,1,1,0.769167,0.715292,0.567917,0.118787,21
4,1,10,0,3,1,2,0.3575,0.3611,0.666667,0.166667,29
2,1,5,0,5,1,1,0.564167,0.551121,0.523333,0.136817,18
4,1,10,0,6,0,1,0.554167,0.538521,0.664167,0.268025,6
2,1,4,0,2,1,1,0.413333,0.405283,0.454167,0.249383,24
1,0,1,0,4,1,1,0.211304,0.233209,0.518261,0.0895652,6
4,1,12,0,1,1,2,0.393333,0.4015,0.87,0.0982583,17
1,0,2,0,2,1,1,0.266087,0.254274,0.407083,0.291374,15
2,1,3,0,4,1,1,0.554167,0.531567,0.83125,0.117562,22
3,1,7,0,4,1,1,0.769167,0.715292,0.457917,0.194029,5
3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,21
1,0,1,0,1,0,2,0.211304,0.220333,0.5375,0.194017,17
1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,18
4,1,12,0,5,1,2,0.320833,0.321958,0.764167,0.1306,7
4,1,10,0,2,1,2,0.318182,0.309909,0.825455,0.213009,29
1,0,1,0,2,1,1,0.211304,0.220333,0.590435,0.160296,4
2,1,5,0,3,1,1,0.636667,0.595975,0.697917,0.122512,16
3,1,9,0,3,1,1,0.736667,0.708983,0.74125,0.187808,5
4,0,11,0,0,0,1,0.440833,0.43055,0.458333,0.281721,13
4,1,11,0,6,0,2,0.343333,0.323846,0.49125,0.270529,3
4,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,11
2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,7
4,0,10,0,4,1,2,0.589167,0.551804,0.87,0.141787,13
2,1,4,0,6,0,1,0.4375,0.426129,0.407083,0.274871,7
